scientificName,decimalLatitude,decimalLongitude,dataset_id,date,aphiaID
Obelia dichotoma,44.66011,-63.584766,dec2e6cd-7197-4ed2-bb49-ea09c124460c,2022,117386
Obelia dichotoma,44.66785,-63.628133,dec2e6cd-7197-4ed2-bb49-ea09c124460c,2022,117386
Obelia dichotoma,44.66011,-63.584766,dec2e6cd-7197-4ed2-bb49-ea09c124460c,2022,117386
Obelia dichotoma,44.701174,-63.612507,dec2e6cd-7197-4ed2-bb49-ea09c124460c,2022,117386
Obelia dichotoma,44.66011,-63.584766,dec2e6cd-7197-4ed2-bb49-ea09c124460c,2022,117386
Obelia dichotoma,44.661633,-63.585033,dec2e6cd-7197-4ed2-bb49-ea09c124460c,2022,117386
Obelia dichotoma,44.66785,-63.628133,dec2e6cd-7197-4ed2-bb49-ea09c124460c,2022,117386
Obelia dichotoma,44.66011,-63.584766,dec2e6cd-7197-4ed2-bb49-ea09c124460c,2022,117386
Obelia dichotoma,44.701174,-63.612507,dec2e6cd-7197-4ed2-bb49-ea09c124460c,2022,117386
Obelia dichotoma,44.628517,-63.561083,dec2e6cd-7197-4ed2-bb49-ea09c124460c,2022,117386
Obelia dichotoma,44.628517,-63.561083,dec2e6cd-7197-4ed2-bb49-ea09c124460c,2022,117386
Obelia dichotoma,44.66011,-63.584766,dec2e6cd-7197-4ed2-bb49-ea09c124460c,2022,117386
Obelia dichotoma,44.689083,-63.63525,dec2e6cd-7197-4ed2-bb49-ea09c124460c,2022,117386
Obelia dichotoma,44.66785,-63.628133,dec2e6cd-7197-4ed2-bb49-ea09c124460c,2022,117386
Obelia dichotoma,44.701174,-63.612507,dec2e6cd-7197-4ed2-bb49-ea09c124460c,2021,117386
Obelia dichotoma,44.66011,-63.584766,dec2e6cd-7197-4ed2-bb49-ea09c124460c,2022,117386
Obelia dichotoma,44.66011,-63.584766,dec2e6cd-7197-4ed2-bb49-ea09c124460c,2022,117386
Obelia dichotoma,44.661633,-63.585033,dec2e6cd-7197-4ed2-bb49-ea09c124460c,2022,117386
Obelia dichotoma,44.661633,-63.585033,dec2e6cd-7197-4ed2-bb49-ea09c124460c,2022,117386
